Lighthouse Name,ARLHS Number,Status,State Province,Coordinates,Coordinates,Coordinates,Gridsquare,IOTA,# of Activations
Lighthouse Name,ARLHS Number,Status,State Province,Lat,Long,Map,Gridsquare,IOTA,# of Activations
12 Mile Island Ile Allen,CAN 1433,- -,Quebec,45° 29.4' N,076° 1.2' W,Map,FN15xl,-,14
Abbot's Harbour,CAN 001H,Hist -,Nova Scotia,43° 39.0' N,065° 50.0' W,Map,FN73cp,-,-
"Abbot's Harbour (Le Village Historique Acadien) Abbot's Harbour, NS H",CAN 001,Hist -,Nova Scotia,43° 39.0' N,065° 50.0' W,Map,FN73cp,-,-
"Active Pass/Georgina Point (Mayne Island) Georgina Point/Active Pass (Mayne Island), BC",CAN 002,- -,British Columbia,48° 52.0' N,123° 17.0' W,Map,CN88iu,-,-
Addenbroke Island,CAN 004,- -,British Columbia,51° 36.0' N,127° 52.0' W,Map,CO61bo,-,-
Advocate Harbour (Bay of Fundy),CAN 1131,Hist -,Nova Scotia,-,-,-,-,-,-
Agate Island (Michipicoten Island) (Lake Superior),CAN 1043,Hist -,Ontario,-,-,-,-,-,-
Albert Head,CAN 005,Hist -,British Columbia,48° 23.2' N,123° 28.7' W,Map,CN88gj,-,-
Alberton Inner Range Front,CAN 006,- -,Prince Edward Island,46° 48.0' N,064° 3.0' W,Map,FN76xt,-,-
Alberton Inner Range Rear,CAN 007,- -,Prince Edward Island,46° 48.0' N,064° 3.0' W,Map,FN76xt,-,-
Alberton Range Front,CAN 008,Hist -,Prince Edward Island,46° 48.0' N,064° 2.0' W,Map,FN76xt,-,-
Alberton Range Rear,CAN 009,Hist -,Prince Edward Island,46° 48.0' N,064° 2.0' W,Map,FN76xt,-,-
"Allan's Island/Lamaline Lamaline/Allan's Island, NF H",CAN 670,Hist -,Newfoundland and Labrador,46° 51.0' N,055° 48.0' W,Map,GN26cu,-,-
Amet Island (Northumberland Strait),CAN 1362,Hist -,Nova Scotia,-,-,-,-,-,-
Amherst Basin Front Range (Bay of Fundy),CAN 1379,Hist -,Nova Scotia,-,-,-,-,-,-
